,YEAR_MONTH,TAVG,TMAX,TMIN,temp_celsius,month,ref_temp,diff
255,200904,40.233333333333334,48.36666666666667,32.53333333333333,4.574074074074074,4.0,3.5094441083551793,1.0646299657188951
256,201004,40.3,48.233333333333334,33.266666666666666,4.611111111111112,4.0,3.5094441083551793,1.1016670027559323
257,201104,42.733333333333334,50.63333333333333,34.766666666666666,5.962962962962963,4.0,3.5094441083551793,2.4535188546077835
258,201204,39.03333333333333,45.8,32.1,3.9074074074074074,4.0,3.5094441083551793,0.39796329905222816
259,201304,36.96666666666667,44.666666666666664,28.966666666666665,2.759259259259259,4.0,3.5094441083551793,-0.7501848490959202
260,201404,42.1,51.7,32.46666666666667,5.611111111111112,4.0,3.5094441083551793,2.1016670027559323
261,201504,41.3,48.13333333333333,34.8,5.166666666666667,4.0,3.5094441083551793,1.6572225583114877
262,201604,40.36666666666667,48.733333333333334,34.13333333333333,4.648148148148148,4.0,3.5094441083551793,1.1387040397929686
263,201704,36.03333333333333,44.1,29.7,2.2407407407407405,4.0,3.5094441083551793,-1.2687033676144388
264,195205,44.666666666666664,53.30434782608695,33.916666666666664,7.037037037037037,5.0,10.202917940876656,-3.1658809038396187
265,195305,48.67741935483871,58.2,37.925925925925924,9.265232974910395,5.0,10.202917940876656,-0.9376849659662607
266,195405,52.62068965517241,61.642857142857146,43.0,11.455938697318008,5.0,10.202917940876656,1.2530207564413516
267,195505,42.96551724137931,50.10344827586207,35.857142857142854,6.091954022988506,5.0,10.202917940876656,-4.11096391788815
268,195605,47.56666666666667,57.766666666666666,36.57142857142857,8.648148148148149,5.0,10.202917940876656,-1.5547697927285071
269,195705,46.89473684210526,55.111111111111114,38.68421052631579,8.274853801169591,5.0,10.202917940876656,-1.9280641397070646
270,195805,46.806451612903224,54.785714285714285,38.03448275862069,8.225806451612904,5.0,10.202917940876656,-1.977111489263752
271,195905,49.45161290322581,58.45161290322581,39.354838709677416,9.695340501792113,5.0,10.202917940876656,-0.5075774390845424
272,196005,51.766666666666666,61.096774193548384,39.096774193548384,10.981481481481483,5.0,10.202917940876656,0.7785635406048268
273,196105,49.806451612903224,58.193548387096776,39.903225806451616,9.89247311827957,5.0,10.202917940876656,-0.31044482259708595
274,196205,47.45161290322581,55.70967741935484,38.61290322580645,8.584229390681003,5.0,10.202917940876656,-1.6186885501956532
275,196305,55.774193548387096,65.74193548387096,43.483870967741936,13.207885304659499,5.0,10.202917940876656,3.0049673637828427
276,196405,,58.806451612903224,38.74193548387097,,5.0,10.202917940876656,
277,196505,,53.225806451612904,33.61290322580645,,5.0,10.202917940876656,
278,196605,,58.61290322580645,39.193548387096776,,5.0,10.202917940876656,
279,196705,,57.61290322580645,41.67741935483871,,5.0,10.202917940876656,
280,196805,,54.25806451612903,37.935483870967744,,5.0,10.202917940876656,
281,196905,,57.12903225806452,39.096774193548384,,5.0,10.202917940876656,
282,197005,,59.806451612903224,39.54838709677419,,5.0,10.202917940876656,
283,197105,,61.03225806451613,40.45161290322581,,5.0,10.202917940876656,
284,197205,,57.54838709677419,39.645161290322584,,5.0,10.202917940876656,
285,197305,50.29032258064516,59.064516129032256,41.096774193548384,10.161290322580646,5.0,10.202917940876656,-0.04162761829601003
